x,Scalar
0.000000,3.467853
0.000896,3.467854
0.001792,3.467854
0.002688,3.467855
0.003584,3.467855
0.004481,3.467857
0.005377,3.467858
0.006273,3.467860
0.007169,3.467862
0.008065,3.467864
0.008961,3.467866
0.009857,3.467869
0.010753,3.467872
0.011649,3.467875
0.012545,3.467879
0.013442,3.467882
0.014338,3.467886
0.015234,3.467891
0.016130,3.467895
0.017026,3.467900
0.017922,3.467905
0.018818,3.467910
0.019714,3.467916
0.020610,3.467922
0.021506,3.467928
0.022403,3.467934
0.023299,3.467940
0.024195,3.467947
0.025091,3.467954
0.025987,3.467962
0.026883,3.467969
0.027779,3.467977
0.028675,3.467985
0.029571,3.467994
0.030467,3.468002
0.031364,3.468011
0.032260,3.468020
0.033156,3.468030
0.034052,3.468039
0.034948,3.468049
0.035844,3.468059
0.036740,3.468070
0.037636,3.468081
0.038532,3.468092
0.039428,3.468103
0.040325,3.468114
0.041221,3.468126
0.042117,3.468138
0.043013,3.468150
0.043909,3.468163
0.044805,3.468175
0.045701,3.468188
0.046597,3.468202
0.047493,3.468215
0.048389,3.468229
0.049286,3.468243
0.050182,3.468257
0.051078,3.468272
0.051974,3.468287
0.052870,3.468302
0.053766,3.468317
0.054662,3.468333
0.055558,3.468349
0.056454,3.468365
0.057350,3.468381
0.058247,3.468398
0.059143,3.468415
0.060039,3.468432
0.060935,3.468449
0.061831,3.468467
0.062727,3.468485
0.063623,3.468503
0.064519,3.468522
0.065415,3.468540
0.066311,3.468559
0.067208,3.468578
0.068104,3.468598
0.069000,3.468618
0.069896,3.468638
0.070792,3.468658
0.071688,3.468678
0.072584,3.468699
0.073480,3.468720
0.074376,3.468742
0.075272,3.468763
0.076169,3.468785
0.077065,3.468807
0.077961,3.468829
0.078857,3.468852
0.079753,3.468875
0.080649,3.468898
0.081545,3.468921
0.082441,3.468945
0.083337,3.468969
0.084233,3.468993
0.085130,3.469017
0.086026,3.469042
0.086922,3.469067
0.087818,3.469092
0.088714,3.469117
0.089610,3.469143
0.090506,3.469169
0.091402,3.469195
0.092298,3.469222
0.093194,3.469249
0.094091,3.469276
0.094987,3.469303
0.095883,3.469330
0.096779,3.469358
0.097675,3.469386
0.098571,3.469414
0.099467,3.469443
0.100363,3.469472
0.101259,3.469501
0.102155,3.469530
0.103052,3.469560
0.103948,3.469590
0.104844,3.469620
0.105740,3.469650
0.106636,3.469681
0.107532,3.469712
0.108428,3.469743
0.109324,3.469774
0.110220,3.469806
0.111116,3.469838
0.112013,3.469870
0.112909,3.469903
0.113805,3.469936
0.114701,3.469969
0.115597,3.470002
0.116493,3.470035
0.117389,3.470069
0.118285,3.470103
0.119181,3.470137
0.120077,3.470172
0.120974,3.470207
0.121870,3.470242
0.122766,3.470277
0.123662,3.470313
0.124558,3.470349
0.125454,3.470385
0.126350,3.470421
0.127246,3.470458
0.128142,3.470495
0.129038,3.470532
0.129935,3.470569
0.130831,3.470607
0.131727,3.470645
0.132623,3.470683
0.133519,3.470722
0.134415,3.470761
0.135311,3.470800
0.136207,3.470839
0.137103,3.470878
0.138000,3.470918
0.138896,3.470958
0.139792,3.470999
0.140688,3.471039
0.141584,3.471080
0.142480,3.471121
0.143376,3.471163
0.144272,3.471204
0.145168,3.471246
0.146064,3.471288
0.146961,3.471331
0.147857,3.471374
0.148753,3.471417
0.149649,3.471460
0.150545,3.471503
0.151441,3.471547
0.152337,3.471591
0.153233,3.471635
0.154129,3.471680
0.155025,3.471725
0.155922,3.471770
0.156818,3.471815
0.157714,3.471861
0.158610,3.471907
0.159506,3.471953
0.160402,3.471999
0.161298,3.472046
0.162194,3.472093
0.163090,3.472140
0.163986,3.472187
0.164883,3.472235
0.165779,3.472283
0.166675,3.472331
0.167571,3.472380
0.168467,3.472429
0.169363,3.472478
0.170259,3.472527
0.171155,3.472577
0.172051,3.472627
0.172947,3.472677
0.173844,3.472727
0.174740,3.472778
0.175636,3.472829
0.176532,3.472880
0.177428,3.472931
0.178324,3.472983
0.179220,3.473035
0.180116,3.473087
0.181012,3.473140
0.181908,3.473193
0.182805,3.473246
0.183701,3.473299
0.184597,3.473353
0.185493,3.473406
0.186389,3.473461
0.187285,3.473515
0.188181,3.473570
0.189077,3.473625
0.189973,3.473680
0.190869,3.473735
0.191766,3.473791
0.192662,3.473847
0.193558,3.473903
0.194454,3.473960
0.195350,3.474017
0.196246,3.474074
0.197142,3.474131
0.198038,3.474189
0.198934,3.474246
0.199830,3.474305
0.200727,3.474363
0.201623,3.474422
0.202519,3.474481
0.203415,3.474540
0.204311,3.474599
0.205207,3.474659
0.206103,3.474719
0.206999,3.474779
0.207895,3.474840
0.208791,3.474901
0.209688,3.474962
0.210584,3.475023
0.211480,3.475085
0.212376,3.475147
0.213272,3.475209
0.214168,3.475272
0.215064,3.475334
0.215960,3.475397
0.216856,3.475461
0.217752,3.475524
0.218649,3.475588
0.219545,3.475652
0.220441,3.475716
0.221337,3.475781
0.222233,3.475846
0.223129,3.475911
0.224025,3.475977
0.224921,3.476042
0.225817,3.476108
0.226713,3.476175
0.227610,3.476241
0.228506,3.476308
0.229402,3.476375
0.230298,3.476442
0.231194,3.476510
0.232090,3.476578
0.232986,3.476646
0.233882,3.476715
0.234778,3.476783
0.235674,3.476852
0.236571,3.476922
0.237467,3.476991
0.238363,3.477061
0.239259,3.477131
0.240155,3.477201
0.241051,3.477272
0.241947,3.477343
0.242843,3.477414
0.243739,3.477486
0.244635,3.477557
0.245532,3.477629
0.246428,3.477702
0.247324,3.477774
0.248220,3.477847
0.249116,3.477920
0.250012,3.477993
0.250908,3.478067
0.251804,3.478141
0.252700,3.478215
0.253596,3.478290
0.254493,3.478365
0.255389,3.478440
0.256285,3.478515
0.257181,3.478591
0.258077,3.478666
0.258973,3.478743
0.259869,3.478819
0.260765,3.478896
0.261661,3.478973
0.262557,3.479050
0.263454,3.479128
0.264350,3.479205
0.265246,3.479283
0.266142,3.479362
0.267038,3.479440
0.267934,3.479519
0.268830,3.479599
0.269726,3.479678
0.270622,3.479758
0.271518,3.479838
0.272415,3.479918
0.273311,3.479999
0.274207,3.480080
0.275103,3.480161
0.275999,3.480242
0.276895,3.480324
0.277791,3.480406
0.278687,3.480488
0.279583,3.480571
0.280480,3.480654
0.281376,3.480737
0.282272,3.480820
0.283168,3.480904
0.284064,3.480988
0.284960,3.481072
0.285856,3.481157
0.286752,3.481242
0.287648,3.481327
0.288544,3.481412
0.289441,3.481498
0.290337,3.481584
0.291233,3.481670
0.292129,3.481757
0.293025,3.481843
0.293921,3.481930
0.294817,3.482018
0.295713,3.482105
0.296609,3.482193
0.297505,3.482282
0.298402,3.482370
0.299298,3.482459
0.300194,3.482548
0.301090,3.482637
0.301986,3.482727
0.302882,3.482817
0.303778,3.482907
0.304674,3.482998
0.305570,3.483088
0.306466,3.483179
0.307363,3.483271
0.308259,3.483362
0.309155,3.483454
0.310051,3.483547
0.310947,3.483639
0.311843,3.483732
0.312739,3.483825
0.313635,3.483918
0.314531,3.484012
0.315427,3.484106
0.316324,3.484200
0.317220,3.484295
0.318116,3.484389
0.319012,3.484484
0.319908,3.484580
0.320804,3.484675
0.321700,3.484771
0.322596,3.484868
0.323492,3.484964
0.324388,3.485061
0.325285,3.485158
0.326181,3.485255
0.327077,3.485353
0.327973,3.485451
0.328869,3.485549
0.329765,3.485648
0.330661,3.485747
0.331557,3.485846
0.332453,3.485945
0.333349,3.486045
0.334246,3.486145
0.335142,3.486245
0.336038,3.486346
0.336934,3.486447
0.337830,3.486548
0.338726,3.486649
0.339622,3.486751
0.340518,3.486853
0.341414,3.486956
0.342310,3.487058
0.343207,3.487161
0.344103,3.487264
0.344999,3.487368
0.345895,3.487472
0.346791,3.487576
0.347687,3.487680
0.348583,3.487785
0.349479,3.487890
0.350375,3.487995
0.351271,3.488101
0.352168,3.488207
0.353064,3.488313
0.353960,3.488419
0.354856,3.488526
0.355752,3.488633
0.356648,3.488741
0.357544,3.488848
0.358440,3.488956
0.359336,3.489064
0.360232,3.489173
0.361129,3.489282
0.362025,3.489391
0.362921,3.489500
0.363817,3.489610
0.364713,3.489720
0.365609,3.489831
0.366505,3.489941
0.367401,3.490052
0.368297,3.490163
0.369193,3.490275
0.370090,3.490387
0.370986,3.490499
0.371882,3.490611
0.372778,3.490724
0.373674,3.490837
0.374570,3.490951
0.375466,3.491064
0.376362,3.491178
0.377258,3.491292
0.378154,3.491407
0.379051,3.491522
0.379947,3.491637
0.380843,3.491752
0.381739,3.491868
0.382635,3.491984
0.383531,3.492101
0.384427,3.492217
0.385323,3.492334
0.386219,3.492452
0.387115,3.492569
0.388012,3.492687
0.388908,3.492805
0.389804,3.492924
0.390700,3.493042
0.391596,3.493162
0.392492,3.493281
0.393388,3.493401
0.394284,3.493521
0.395180,3.493641
0.396076,3.493762
0.396973,3.493883
0.397869,3.494004
0.398765,3.494126
0.399661,3.494247
0.400557,3.494370
0.401453,3.494492
0.402349,3.494615
0.403245,3.494738
0.404141,3.494861
0.405037,3.494985
0.405934,3.495109
0.406830,3.495234
0.407726,3.495358
0.408622,3.495483
0.409518,3.495608
0.410414,3.495734
0.411310,3.495860
0.412206,3.495986
0.413102,3.496113
0.413999,3.496240
0.414895,3.496367
0.415791,3.496494
0.416687,3.496622
0.417583,3.496750
0.418479,3.496878
0.419375,3.497007
0.420271,3.497136
0.421167,3.497266
0.422063,3.497395
0.422960,3.497525
0.423856,3.497656
0.424752,3.497786
0.425648,3.497917
0.426544,3.498048
0.427440,3.498180
0.428336,3.498312
0.429232,3.498444
0.430128,3.498576
0.431024,3.498709
0.431921,3.498842
0.432817,3.498976
0.433713,3.499110
0.434609,3.499244
0.435505,3.499378
0.436401,3.499513
0.437297,3.499648
0.438193,3.499783
0.439089,3.499919
0.439985,3.500055
0.440882,3.500192
0.441778,3.500328
0.442674,3.500465
0.443570,3.500603
0.444466,3.500740
0.445362,3.500878
0.446258,3.501016
0.447154,3.501155
0.448050,3.501294
0.448946,3.501433
0.449843,3.501573
0.450739,3.501713
0.451635,3.501853
0.452531,3.501993
0.453427,3.502134
0.454323,3.502276
0.455219,3.502417
0.456115,3.502559
0.457011,3.502701
0.457907,3.502844
0.458804,3.502986
0.459700,3.503130
0.460596,3.503273
0.461492,3.503417
0.462388,3.503561
0.463284,3.503706
0.464180,3.503850
0.465076,3.503995
0.465972,3.504141
0.466868,3.504287
0.467765,3.504433
0.468661,3.504579
0.469557,3.504726
0.470453,3.504873
0.471349,3.505021
0.472245,3.505168
0.473141,3.505317
0.474037,3.505465
0.474933,3.505614
0.475829,3.505763
0.476726,3.505912
0.477622,3.506062
0.478518,3.506212
0.479414,3.506363
0.480310,3.506514
0.481206,3.506665
0.482102,3.506816
0.482998,3.506968
0.483894,3.507120
0.484790,3.507273
0.485687,3.507425
0.486583,3.507579
0.487479,3.507732
0.488375,3.507886
0.489271,3.508040
0.490167,3.508195
0.491063,3.508349
0.491959,3.508505
0.492855,3.508660
0.493751,3.508816
0.494648,3.508972
0.495544,3.509129
0.496440,3.509286
0.497336,3.509443
0.498232,3.509601
0.499128,3.509759
0.500024,3.509917
0.500920,3.510075
0.501816,3.510234
0.502712,3.510394
0.503609,3.510553
0.504505,3.510713
0.505401,3.510874
0.506297,3.511034
0.507193,3.511195
0.508089,3.511357
0.508985,3.511519
0.509881,3.511681
0.510777,3.511843
0.511673,3.512006
0.512570,3.512169
0.513466,3.512332
0.514362,3.512496
0.515258,3.512660
0.516154,3.512825
0.517050,3.512990
0.517946,3.513155
0.518842,3.513321
0.519738,3.513487
0.520634,3.513653
0.521531,3.513820
0.522427,3.513987
0.523323,3.514154
0.524219,3.514322
0.525115,3.514490
0.526011,3.514658
0.526907,3.514827
0.527803,3.514996
0.528699,3.515165
0.529595,3.515335
0.530492,3.515506
0.531388,3.515676
0.532284,3.515847
0.533180,3.516018
0.534076,3.516190
0.534972,3.516362
0.535868,3.516534
0.536764,3.516707
0.537660,3.516880
0.538556,3.517054
0.539453,3.517227
0.540349,3.517401
0.541245,3.517576
0.542141,3.517751
0.543037,3.517926
0.543933,3.518102
0.544829,3.518278
0.545725,3.518454
0.546621,3.518631
0.547517,3.518808
0.548414,3.518985
0.549310,3.519163
0.550206,3.519341
0.551102,3.519520
0.551998,3.519699
0.552894,3.519878
0.553790,3.520058
0.554686,3.520238
0.555582,3.520418
0.556479,3.520599
0.557375,3.520780
0.558271,3.520962
0.559167,3.521144
0.560063,3.521326
0.560959,3.521508
0.561855,3.521691
0.562751,3.521875
0.563647,3.522059
0.564543,3.522243
0.565440,3.522427
0.566336,3.522612
0.567232,3.522797
0.568128,3.522983
0.569024,3.523169
0.569920,3.523355
0.570816,3.523542
0.571712,3.523729
0.572608,3.523917
0.573504,3.524105
0.574401,3.524293
0.575297,3.524482
0.576193,3.524671
0.577089,3.524860
0.577985,3.525050
0.578881,3.525240
0.579777,3.525431
0.580673,3.525622
0.581569,3.525813
0.582465,3.526005
0.583362,3.526197
0.584258,3.526390
0.585154,3.526583
0.586050,3.526776
0.586946,3.526970
0.587842,3.527164
0.588738,3.527358
0.589634,3.527553
0.590530,3.527748
0.591426,3.527944
0.592323,3.528140
0.593219,3.528336
0.594115,3.528533
0.595011,3.528730
0.595907,3.528928
0.596803,3.529126
0.597699,3.529324
0.598595,3.529523
0.599491,3.529722
0.600387,3.529922
0.601284,3.530122
0.602180,3.530322
0.603076,3.530523
0.603972,3.530724
0.604868,3.530926
0.605764,3.531128
0.606660,3.531330
0.607556,3.531533
0.608452,3.531736
0.609348,3.531940
0.610245,3.532144
0.611141,3.532348
0.612037,3.532553
0.612933,3.532758
0.613829,3.532963
0.614725,3.533169
0.615621,3.533376
0.616517,3.533583
0.617413,3.533790
0.618309,3.533998
0.619206,3.534206
0.620102,3.534414
0.620998,3.534623
0.621894,3.534832
0.622790,3.535042
0.623686,3.535252
0.624582,3.535463
0.625478,3.535673
0.626374,3.535885
0.627270,3.536097
0.628167,3.536309
0.629063,3.536521
0.629959,3.536734
0.630855,3.536948
0.631751,3.537162
0.632647,3.537376
0.633543,3.537591
0.634439,3.537806
0.635335,3.538021
0.636231,3.538237
0.637128,3.538454
0.638024,3.538670
0.638920,3.538888
0.639816,3.539105
0.640712,3.539323
0.641608,3.539542
0.642504,3.539761
0.643400,3.539980
0.644296,3.540200
0.645192,3.540420
0.646089,3.540641
0.646985,3.540862
0.647881,3.541083
0.648777,3.541305
0.649673,3.541527
0.650569,3.541750
0.651465,3.541973
0.652361,3.542197
0.653257,3.542421
0.654153,3.542646
0.655050,3.542871
0.655946,3.543096
0.656842,3.543322
0.657738,3.543548
0.658634,3.543775
0.659530,3.544002
0.660426,3.544230
0.661322,3.544458
0.662218,3.544686
0.663114,3.544915
0.664011,3.545145
0.664907,3.545374
0.665803,3.545605
0.666699,3.545835
0.667595,3.546066
0.668491,3.546298
0.669387,3.546530
0.670283,3.546763
0.671179,3.546996
0.672075,3.547229
0.672972,3.547463
0.673868,3.547697
0.674764,3.547932
0.675660,3.548167
0.676556,3.548403
0.677452,3.548639
0.678348,3.548875
0.679244,3.549112
0.680140,3.549350
0.681036,3.549588
0.681933,3.549826
0.682829,3.550065
0.683725,3.550305
0.684621,3.550544
0.685517,3.550785
0.686413,3.551025
0.687309,3.551267
0.688205,3.551508
0.689101,3.551750
0.689998,3.551993
0.690894,3.552236
0.691790,3.552479
0.692686,3.552723
0.693582,3.552968
0.694478,3.553213
0.695374,3.553458
0.696270,3.553704
0.697166,3.553951
0.698062,3.554197
0.698959,3.554445
0.699855,3.554692
0.700751,3.554941
0.701647,3.555189
0.702543,3.555439
0.703439,3.555688
0.704335,3.555939
0.705231,3.556189
0.706127,3.556440
0.707023,3.556692
0.707920,3.556944
0.708816,3.557197
0.709712,3.557450
0.710608,3.557703
0.711504,3.557957
0.712400,3.558212
0.713296,3.558467
0.714192,3.558723
0.715088,3.558979
0.715984,3.559235
0.716881,3.559492
0.717777,3.559750
0.718673,3.560008
0.719569,3.560266
0.720465,3.560525
0.721361,3.560785
0.722257,3.561045
0.723153,3.561305
0.724049,3.561566
0.724945,3.561828
0.725842,3.562090
0.726738,3.562352
0.727634,3.562615
0.728530,3.562879
0.729426,3.563143
0.730322,3.563407
0.731218,3.563673
0.732114,3.563938
0.733010,3.564204
0.733906,3.564471
0.734803,3.564738
0.735699,3.565006
0.736595,3.565274
0.737491,3.565542
0.738387,3.565812
0.739283,3.566081
0.740179,3.566352
0.741075,3.566622
0.741971,3.566894
0.742867,3.567165
0.743764,3.567438
0.744660,3.567711
0.745556,3.567984
0.746452,3.568258
0.747348,3.568532
0.748244,3.568807
0.749140,3.569083
0.750036,3.569359
0.750932,3.569635
0.751828,3.569913
0.752725,3.570190
0.753621,3.570468
0.754517,3.570747
0.755413,3.571026
0.756309,3.571306
0.757205,3.571587
0.758101,3.571867
0.758997,3.572149
0.759893,3.572431
0.760789,3.572713
0.761686,3.572996
0.762582,3.573280
0.763478,3.573564
0.764374,3.573849
0.765270,3.574134
0.766166,3.574420
0.767062,3.574707
0.767958,3.574994
0.768854,3.575281
0.769750,3.575569
0.770647,3.575858
0.771543,3.576147
0.772439,3.576437
0.773335,3.576727
0.774231,3.577018
0.775127,3.577310
0.776023,3.577602
0.776919,3.577894
0.777815,3.578187
0.778711,3.578481
0.779608,3.578775
0.780504,3.579070
0.781400,3.579366
0.782296,3.579662
0.783192,3.579959
0.784088,3.580256
0.784984,3.580554
0.785880,3.580852
0.786776,3.581151
0.787672,3.581450
0.788569,3.581751
0.789465,3.582051
0.790361,3.582353
0.791257,3.582655
0.792153,3.582957
0.793049,3.583260
0.793945,3.583564
0.794841,3.583868
0.795737,3.584173
0.796633,3.584479
0.797530,3.584785
0.798426,3.585092
0.799322,3.585399
0.800218,3.585632
0.801114,3.585632
0.802010,3.585632
0.802906,3.585632
0.803802,3.585632
0.804698,3.585632
0.805594,3.585632
0.806491,3.585632
0.807387,3.585632
0.808283,3.585632
0.809179,3.585632
0.810075,3.585632
0.810971,3.585632
0.811867,3.585632
0.812763,3.585632
0.813659,3.585632
0.814555,3.585632
0.815452,3.585632
0.816348,3.585632
0.817244,3.585632
0.818140,3.585632
0.819036,3.585632
0.819932,3.585632
0.820828,3.585632
0.821724,3.585632
0.822620,3.585632
0.823517,3.585632
0.824413,3.585632
0.825309,3.585632
0.826205,3.585632
0.827101,3.585632
0.827997,3.585632
0.828893,3.585632
0.829789,3.585632
0.830685,3.585632
0.831581,3.585632
0.832478,3.585632
0.833374,3.585632
0.834270,3.585632
0.835166,3.585632
0.836062,3.585632
0.836958,3.585632
0.837854,3.585632
0.838750,3.585632
0.839646,3.585632
0.840542,3.585632
0.841439,3.585632
0.842335,3.585632
0.843231,3.585632
0.844127,3.585632
0.845023,3.585632
0.845919,3.585632
0.846815,3.585632
0.847711,3.585632
0.848607,3.585632
0.849503,3.585632
0.850400,3.585632
0.851296,3.585632
0.852192,3.585632
0.853088,3.585632
0.853984,3.585632
0.854880,3.585632
0.855776,3.585632
0.856672,3.585632
0.857568,3.585632
0.858464,3.585632
0.859361,3.585632
0.860257,3.585632
0.861153,3.585632
0.862049,3.585632
0.862945,3.585632
0.863841,3.585632
0.864737,3.585632
0.865633,3.585632
0.866529,3.585632
0.867425,3.585632
0.868322,3.585632
0.869218,3.585632
0.870114,3.585632
0.871010,3.585632
0.871906,3.585632
0.872802,3.585632
0.873698,3.585632
0.874594,3.585632
0.875490,3.585632
0.876386,3.585632
0.877283,3.585632
0.878179,3.585632
0.879075,3.585632
0.879971,3.585632
0.880867,3.585632
0.881763,3.585632
0.882659,3.585632
0.883555,3.585632
0.884451,3.585632
0.885347,3.585632
0.886244,3.585632
0.887140,3.585632
0.888036,3.585632
0.888932,3.585632
0.889828,3.585632
0.890724,3.585632
0.891620,3.585632
0.892516,3.585632
0.893412,3.585632
0.894308,3.585632
0.895205,3.585632
