# Time (s), Z (m)
0.000000,0.000000
0.600000,0.000000
0.750000,0.000000
0.900000,-0.000000
0.903090,0.000000
0.906181,0.000000
0.912361,0.000000
0.918542,0.000000
0.924722,0.000000
0.927358,0.000000
0.929993,0.000000
0.935264,-0.000000
0.940535,-0.000000
0.945805,0.000000
0.947924,0.000000
0.950043,0.000002
0.953741,0.000012
0.957440,0.000043
0.961138,0.000113
0.998118,0.006500
1.035099,0.035077
1.072080,0.102454
1.077175,0.115716
1.082270,0.130076
1.087365,0.145577
1.089403,0.152106
1.091441,0.158827
1.093479,0.165739
1.097555,0.180137
1.101631,0.195300
1.105708,0.211227
1.146469,0.412125
1.187230,0.687600
1.227991,1.036078
1.268753,1.455970
1.354447,2.564483
1.366734,2.747845
1.379020,2.937224
1.391307,3.132612
1.415881,3.541397
1.440455,3.974175
1.465028,4.430920
1.604761,7.482404
1.610730,7.630622
1.616699,7.780240
1.628638,8.082276
1.640576,8.389909
1.652515,8.703137
1.770388,12.095336
1.888262,16.029350
2.006135,20.501744
2.124008,25.508148
2.274311,32.657227
2.303676,34.153039
2.333042,35.680995
2.362408,37.240928
2.391773,38.832646
2.450504,42.110693
2.509236,45.513640
2.567967,49.039979
2.626698,52.688279
2.685429,56.457405
2.744160,60.346457
2.802892,64.354498
2.906007,71.676459
3.009123,79.357353
3.112239,87.393753
3.192751,93.915072
3.273264,100.652714
3.353776,107.606549
3.439694,115.265589
3.507309,121.465937
3.574923,127.818543
3.642538,134.323344
3.698709,139.842941
3.754880,145.467509
3.811052,151.197134
3.867223,157.032031
3.923394,162.972507
3.979565,169.018900
4.035737,175.171553
4.099930,182.333376
4.164123,189.634723
4.228316,197.075739
4.292509,204.656495
4.356702,212.377026
4.420895,220.237353
4.472798,226.695083
4.524702,233.244217
4.576606,239.884759
4.628509,246.616709
4.703146,256.457418
4.777783,266.487103
4.839498,274.923147
4.901213,283.488501
4.962929,292.183085
5.024644,301.006651
5.086359,309.958869
5.157715,320.469511
5.216741,329.293452
5.275766,338.234413
5.334792,347.292021
5.393818,356.465769
5.452844,365.755137
5.511870,375.159659
5.570895,384.678904
5.629921,394.312430
5.704292,406.612378
5.778663,419.092064
5.853034,431.750479
5.927404,444.586586
6.001775,457.599339
6.076146,470.787695
6.169643,487.615325
6.263140,504.716767
6.356637,522.089958
6.430281,535.964023
6.503924,550.004396
6.577568,564.210058
6.651211,578.580015
6.724855,593.113315
6.798499,607.809106
6.872142,622.666584
6.945786,637.684901
7.019429,652.863140
7.100509,669.757993
7.181590,686.844438
7.262670,704.121321
7.343750,721.587469
7.424830,739.241667
7.505911,757.082707
7.609968,780.251399
7.688122,797.852303
7.766277,815.622944
7.844432,833.562037
7.922587,851.668303
8.000741,869.940484
8.078896,888.377331
8.165397,908.973417
8.251897,929.767927
8.338398,950.759086
8.424898,971.945114
8.511398,993.324203
8.597899,1014.894527
8.684399,1036.654211
8.770900,1058.601358
8.857400,1080.734071
8.943901,1103.050427
9.030401,1125.548452
9.116902,1148.226204
9.203402,1171.081716
9.289903,1194.112977
9.369320,1215.411232
9.448736,1236.854353
9.528153,1258.440843
9.607570,1280.169280
9.686987,1302.038263
9.766404,1324.046480
9.845821,1346.192595
9.936246,1371.574341
10.026670,1397.131160
10.041233,1401.263349
10.055796,1405.400017
10.070359,1409.541163
10.084922,1413.686783
10.114048,1421.991424
10.143174,1430.313894
10.172300,1438.654147
10.201425,1447.012135
10.276613,1468.669519
10.351800,1490.443951
10.366837,1494.812810
10.381874,1499.186307
10.396912,1503.564431
10.426987,1512.334487
10.457062,1521.122883
10.487136,1529.929512
10.565310,1552.905206
10.643484,1576.001535
10.721657,1599.216508
10.799831,1622.548216
10.878005,1645.994782
10.956179,1669.554113
10.967208,1672.887003
10.978237,1676.222045
10.989267,1679.559204
11.011326,1686.239678
11.033384,1692.928152
11.055443,1699.624331
11.110869,1716.480559
11.166295,1733.378364
11.221721,1750.313125
11.273446,1766.146554
11.289603,1771.097532
11.300322,1774.383420
11.311040,1777.670160
11.321759,1780.957652
11.341329,1786.961503
11.360900,1792.966876
11.380470,1798.973179
11.419852,1811.059260
11.436279,1816.100107
11.447767,1819.624991
11.459255,1823.149372
11.470743,1826.673178
11.491870,1833.151792
11.512997,1839.627868
11.534124,1846.101060
11.585340,1861.778163
11.636555,1877.430892
11.687771,1893.054449
11.735771,1907.666295
11.753996,1913.206241
11.767578,1917.331340
11.781160,1921.453652
11.794741,1925.573155
11.820339,1933.329744
11.845937,1941.076268
11.871535,1948.812682
11.965471,1977.114822
12.059406,2005.277824
12.153342,2033.299596
12.275554,2069.542289
12.296493,2075.727314
12.317433,2081.905044
12.338372,2088.075456
12.380251,2100.394302
12.422130,2112.683822
12.464008,2124.944066
12.505887,2137.175135
12.576895,2157.847436
12.647904,2178.436790
12.718912,2198.943673
12.839123,2233.473865
12.959334,2267.771552
13.079545,2301.838973
13.243444,2347.921034
13.407342,2393.585137
13.520706,2424.927639
13.634069,2456.075312
13.747432,2487.030490
13.902753,2529.134791
14.058074,2570.887511
14.213395,2612.293694
14.339367,2645.624109
14.363229,2651.912474
14.387092,2658.192864
14.389919,2658.936274
14.392745,2659.679573
14.398399,2661.165947
14.399530,2661.463159
14.399673,2661.500706
14.399815,2661.538253
14.400101,2661.613345
14.400752,2661.784479
14.401403,2661.955606
14.402054,2662.126725
14.408565,2663.837502
14.415076,2665.547523
14.421588,2667.256789
14.480695,2682.739085
14.539802,2698.159525
14.598909,2713.518447
14.681508,2734.879240
14.764107,2756.121402
14.846706,2777.245788
14.988660,2813.277349
15.130614,2848.967541
15.272567,2884.320335
15.519201,2944.952904
15.580859,2959.955546
15.642517,2974.896706
15.704175,2989.776661
15.744537,2999.484104
15.784899,3009.165512
15.825261,3018.820961
15.923921,3042.314099
16.022582,3065.653663
16.121243,3088.840733
16.314931,3133.921764
16.508618,3178.426542
16.702306,3222.362264
16.901140,3266.880587
17.099974,3310.813487
17.298808,3354.167813
17.348517,3364.916646
17.398225,3375.629841
17.447934,3386.307499
17.547351,3407.556634
17.646768,3428.664760
17.746185,3449.632637
17.914413,3484.796063
18.082640,3519.563554
18.250867,3553.938476
18.379081,3579.875448
18.507294,3605.587797
18.635508,3631.076913
18.939070,3690.544795
19.242632,3748.785908
19.546194,3805.816690
19.624947,3820.416006
19.703700,3834.935200
19.782452,3849.374531
19.986921,3886.493218
20.191390,3923.079582
20.395859,3959.137928
20.456639,3969.755249
20.517418,3980.326389
20.578198,3990.851448
20.638446,4001.239052
20.698694,4011.581580
20.758942,4021.879132
20.991851,4061.266875
21.224760,4099.989320
21.457669,4138.051790
21.657024,4170.110312
21.856378,4201.692255
22.055732,4232.800674
22.168176,4250.139186
22.280620,4267.328495
22.393063,4284.369108
22.529528,4304.851076
22.665993,4325.115611
22.802458,4345.163564
23.136210,4393.288346
23.469963,4440.134421
23.553401,4451.647263
23.636839,4463.081068
23.720277,4474.436005
23.841719,4490.822265
23.963161,4507.042312
24.084603,4523.096633
24.379878,4561.443186
24.675152,4598.819563
24.970426,4635.232305
25.146258,4656.460206
25.322090,4677.349894
25.497922,4697.902611
25.698310,4720.916489
25.898699,4743.496008
26.099088,4765.642865
26.219078,4778.697606
26.339069,4791.598186
26.459059,4804.344917
26.579049,4816.938122
26.819030,4841.665265
27.059010,4865.782201
27.298991,4889.291425
27.538972,4912.195308
27.759466,4932.707728
27.979960,4952.712783
28.200454,4972.212153
28.420948,4991.207468
28.873060,5028.586602
29.325172,5063.866010
29.777284,5097.057757
30.229396,5128.173196
30.434069,5141.579486
30.638742,5154.563409
30.843415,5167.125890
31.048088,5179.267820
31.284026,5192.743822
31.519964,5205.663462
31.755902,5218.028003
31.991840,5229.838668
32.518922,5254.228798
33.046003,5275.873555
33.573085,5294.785226
34.100167,5310.975578
34.627249,5324.455977
35.050843,5333.332912
35.474437,5340.471987
35.898031,5345.878224
36.321625,5349.556088
36.674128,5351.301718
37.013732,5351.855125
37.020000,5351.854936
37.047573,5351.845992
37.075146,5351.829785
37.130292,5351.782894
37.185438,5351.707136
37.240584,5351.602692
37.597798,5350.242744
37.955012,5347.732269
38.312226,5344.113479
38.669441,5339.427269
39.194850,5330.680118
39.720260,5319.841716
40.245669,5307.047387
40.771079,5292.437604
41.296489,5276.156440
42.051621,5250.121240
42.806752,5221.361075
43.561884,5190.283573
44.317016,5157.265261
45.072148,5122.644288
46.008048,5077.952228
46.943948,5031.727858
47.879848,4984.356069
48.815747,4936.142315
49.751647,4887.325315
50.896471,4827.055803
52.041295,4766.405644
53.186119,4705.552454
54.330943,4644.620943
55.475767,4583.697771
56.727921,4517.142682
57.980075,4450.721501
59.232228,4384.468908
60.484382,4318.407124
61.736536,4252.550045
63.125406,4179.751958
64.514275,4107.222757
65.903145,4034.965606
67.292015,3962.981211
68.781686,3886.075010
70.271358,3809.480678
71.761029,3733.196023
73.250701,3657.218497
75.726207,3531.632440
78.201714,3406.874059
80.677220,3282.929951
83.152727,3159.786979
86.088357,3014.776329
89.023988,2870.853834
91.959618,2727.999126
94.895248,2586.192626
97.879873,2443.073299
100.864498,2300.999395
103.849123,2159.952174
105.989744,2059.414171
108.130365,1959.387656
110.270986,1859.866786
112.411607,1760.845081
113.789799,1697.353019
115.167990,1634.063385
116.546181,1570.974523
122.094401,1318.996656
123.481456,1256.493624
124.868511,1194.183562
126.255566,1132.066177
127.642621,1070.140126
128.884241,1014.867928
129.230000,999.503018
129.259752,998.184194
129.289504,996.868132
129.349008,994.241457
129.408512,991.625544
129.468016,989.020118
129.816771,973.947662
130.165526,959.177951
130.514281,944.670413
130.863036,930.390407
131.390463,909.161755
131.917890,888.302704
132.445317,867.746504
132.972744,847.438921
133.500170,827.336980
134.309323,796.819578
135.118475,766.609654
135.927628,736.636491
136.736780,706.848511
137.545933,677.208092
138.493016,642.665657
139.440099,608.255701
140.387181,573.955626
141.334264,539.749591
142.281347,505.626478
143.564139,459.526497
144.846930,413.551023
146.129722,367.691407
147.412514,321.942380
148.922483,268.227802
150.432452,214.657307
151.942421,161.227618
154.105709,84.920959
156.268997,8.892880
156.522545,0.000019
